CompanyName                                     |BSE Code  |
20 Microns Limited                              |533022    |
21CEN MAN SE                                    |526921    |
3M India Ltd.                                   |523395    |
3i Infotech Ltd                                 |532628    |
AAREY DRUGS                                     |524412    |
ABC GAS INT                                     |513119    |
ABC INDIA LIMITED                               |520123    |
ABC Paper Ltd.                                  |532937    |
ABG Infralogistics Ltd                          |520155    |
ABG Shipyard Limited                            |532682    |
ABHIRAMI FINANCIAL INR10                        |511756    |
ABL Bio Technologies Ltd(NDA)                   |526955    |
ABM Knowledgeware Ltd(NDA)                      |531161    |
ACE INDIA LT                                    |530093    |
ACE SOFT EXP (BSE INDONEXT)                     |531525    |
ACI INFOCOM                                     |517356    |
ACIL                                            |530901    |
ACRYSIL LTD.                                    |524091    |
ADARSH PLA P                                    |526711    |
ADINATH EXIM                                    |532056    |
ADITYA FORGE                                    |522150    |
ADITYA ISPAT                                    |513513    |
ADOR MULTIPR                                    |523120    |
ADVENT COMPUTER SE INR10 (POST REORG)           |531429    |
ADVIK LABORT                                    |531686    |
AGAR IND COR                                    |531921    |
AGIO PAPER                                      |516020    |
AHMEDA STEEL(BSE INDONEXT)                      |522273    |
AI Champdany Industries Ltd                     |532806    |
AIA Engineering Limited                         |532683    |
AJCON GLOBAL                                    |511692    |
AJEL                                            |530713    |
AK Capital Services Ltd                         |530499    |
AKANKSH FINV                                    |530135    |
AKAR TOOLS L                                    |530621    |
AKSHARCHEM I(BSE INDONEXT)                      |524598    |
ALCH CORP                                       |531409    |
ALFAICA(IND)                                    |530973    |
ALFAVI OVERS(BSE INDONEXT)                      |531156    |
ALPA LAB                                        |532878    |
ALPHA HI-TEC(BSE INDONEXT)                      |531247    |
ALPINE HOU D                                    |526519    |
AMCO INDIA(BSE INDONEXT)                        |530133    |
AMD Industries Ltd.                             |532828    |
AMIT INTERNA(BSE INDONEXT)                      |531300    |
AMIT SECURIT                                    |531557    |
AMRADEEP IND                                    |531681    |
AMRAPALI INDUSTRIE INR10                        |526241    |
AMRAWOR AGRI                                    |531991    |
AMULYA LEAS                                     |531761    |
ANG Auto Ltd.                                   |530721    |
ANKUSH FINST                                    |531519    |
ANNA INFRA                                      |530799    |
ANS LTD                                         |531406    |
APM Industries Ltd(NDA)                         |523537    |
